,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,2.4203505992889403,1.097890903087712,0.0,0.0,10,5,5,1,100,"{'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 5, 'min_samples_split': 1, 'n_estimators': 100}",,,,,,,,1008,,,,,,,
1,3.3592324256896973,0.07450755158035043,0.0,0.0,10,5,5,1,1000,"{'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 5, 'min_samples_split': 1, 'n_estimators': 1000}",,,,,,,,883,,,,,,,
2,0.7535907745361328,1.1841765701644171,0.019791889190673827,0.0011737555175190405,10,5,5,6,100,"{'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 5, 'min_samples_split': 6, 'n_estimators': 100}",0.7105664601863109,0.7013280587782551,0.7098704324282152,0.7308832406146559,0.7894480675870452,0.7284192519188964,0.03202280813757031,339,0.783353675807894,0.7812124521974089,0.7729858986494187,0.7735639494566433,0.7618285337391189,0.7745889019700968,0.007578124078326377
3,1.04089035987854,0.10549650580082566,0.12350292205810547,0.01781040827660225,10,5,5,6,1000,"{'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 5, 'min_samples_split': 6, 'n_estimators': 1000}",0.7222146883249737,0.690856257981362,0.711900308886749,0.7255638053651543,0.7895337794961493,0.7280137680108777,0.03305954498130725,342,0.792235998135058,0.7770632242991723,0.7709089054901999,0.777075287540061,0.7713050076255905,0.7777176846180163,0.00773439485822126
4,0.16563057899475098,0.0050824220782690254,0.01917157173156738,0.00040071911014974665,10,5,5,11,100,"{'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 5, 'min_samples_split': 11, 'n_estimators': 100}",0.7101890083266567,0.6924114487514292,0.7019975296676189,0.7321024270609799,0.7917925728052397,0.7256985973223848,0.03555205999439756,346,0.7809576195115705,0.773912503196431,0.7691388425427418,0.7738664521634189,0.7616700137478942,0.7719090862324112,0.006359776267558334
5,0.9684448719024659,0.010252813595626508,0.11433792114257812,0.007166683811224403,10,5,5,11,1000,"{'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 5, 'min_samples_split': 11, 'n_estimators': 1000}",0.7205740793943278,0.6877318334333415,0.7116529718234914,0.7275611800778939,0.7891107378658844,0.7273261605189878,0.03369373654818201,345,0.7880218561301299,0.7747878582799199,0.7702531787276327,0.7755074763728332,0.7698961969931459,0.7756933133007323,0.00657341576521512
6,0.16381659507751464,0.00431599091162472,0.060986661911010744,0.08502156309216811,10,5,5,16,100,"{'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 5, 'min_samples_split': 16, 'n_estimators': 100}",0.7077087921883607,0.6785080505709531,0.7029502601214207,0.7230303901749462,0.7807625478689604,0.7185920081849282,0.03421902269265525,398,0.7815864478141883,0.7671949697400043,0.7605532067478268,0.7638851386936396,0.748624113883094,0.7643687753757505,0.01065009345212425
7,0.9516801357269287,0.026507893666145442,0.11589698791503907,0.0014281424886184385,10,5,5,16,1000,"{'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 5, 'min_samples_split': 16, 'n_estimators': 1000}",0.7200835238312016,0.6852431135159249,0.706034468901382,0.7231798803790307,0.7830812732374972,0.7235244519730072,0.03265067857519129,349,0.782226945079581,0.7663993857190634,0.7622019129101893,0.7698956735229004,0.7595179422585685,0.7680483718980605,0.00792607000608215
8,0.1684175968170166,0.005152247422227706,0.019187307357788085,0.0004030002325016776,10,5,5,21,100,"{'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 5, 'min_samples_split': 21, 'n_estimators': 100}",0.7116618812338853,0.6847394298760894,0.711699886341862,0.7086848211502829,0.7722506424310593,0.7178073322066357,0.029037382331602427,402,0.7649347073841222,0.768971089074362,0.7652609475161447,0.7552054661440766,0.7362628022312874,0.7581270024699986,0.0118440774987695
9,0.9659882545471191,0.01180113279405491,0.11498384475708008,0.003415093796746105,10,5,5,21,1000,"{'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 5, 'min_samples_split': 21, 'n_estimators': 1000}",0.7147040713473063,0.6780658127051584,0.7014081091370998,0.7172007017295439,0.7812974191358821,0.718535222810998,0.03431228098710767,399,0.772108182612394,0.7609269780485758,0.7553976499598027,0.7620072871920749,0.7558394168108877,0.7612559029247471,0.0060349348618386305
10,0.16480274200439454,0.003763161432236796,0.018787193298339843,0.0004107449484753653,10,5,5,26,100,"{'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 5, 'min_samples_split': 26, 'n_estimators': 100}",0.7043640370614812,0.6753806884869809,0.6924012711755836,0.7085413192908326,0.7699740462209621,0.710132272447168,0.032059016059882935,450,0.7649850999195479,0.7523638988364925,0.7490841076157841,0.7544621196112239,0.7383443758031112,0.7518479203572319,0.00859848980668207
11,0.946118688583374,0.02129708665420295,0.11576857566833496,0.0036522279780954593,10,5,5,26,1000,"{'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 5, 'min_samples_split': 26, 'n_estimators': 1000}",0.7092049504674163,0.6715194416882042,0.6950676273595977,0.7102175493301333,0.7737056498158132,0.7119430437322329,0.033893779003993735,428,0.7649369680498238,0.751391949575982,0.7476766810360592,0.7540940779808475,0.7474312450322746,0.7531061843349974,0.006411964131750852
